class,precision,recall,f1,support
backdoor,1.0,0.99925,0.9996248593222459,4000.0
ddos,0.9879669089997493,0.98525,0.986606584053073,4000.0
dos,0.9864593781344032,0.9835,0.9849774661992989,4000.0
injection,0.9795557799091368,0.97025,0.9748806832454158,4000.0
mitm,0.6932270916334662,0.8325358851674641,0.7565217391304347,209.0
normal,0.9979010494752624,0.9984,0.9981504623844039,10000.0
password,0.9959819186338523,0.9915,0.9937359057880231,4000.0
ransomware,1.0,0.999,0.9994997498749375,4000.0
scanning,0.9887274549098196,0.98675,0.9877377377377378,4000.0
xss,0.9745490486780332,0.986,0.9802410836336523,4000.0
