class,precision,recall,f1,support
backdoor,0.9725127706154221,0.9995,0.9858217235852546,4000.0
ddos,0.939431704885344,0.94225,0.9408387418871692,4000.0
dos,0.9262672811059908,0.95475,0.9402929951988181,4000.0
injection,0.9303405572755418,0.9015,0.9156932453021839,4000.0
mitm,0.5952380952380952,0.3588516746411483,0.44776119402985076,209.0
normal,0.9894894894894894,0.9885,0.9889944972486243,10000.0
password,0.963826998689384,0.91925,0.9410108765195138,4000.0
ransomware,0.9825392866051385,0.98475,0.9836434011736797,4000.0
scanning,0.9747102212855637,0.925,0.9492047203694202,4000.0
xss,0.8531372098368192,0.928,0.8889953299006107,4000.0
