class,precision,recall,f1,support
backdoor,1.0,0.99925,0.9996248593222459,4000.0
ddos,0.9851833249623305,0.98075,0.9829616637434228,4000.0
dos,0.9869281045751634,0.9815,0.984206568062171,4000.0
injection,0.9775931520644512,0.97075,0.9741595584545911,4000.0
mitm,0.7161016949152542,0.8086124401913876,0.7595505617977528,209.0
normal,0.9970023980815348,0.9978,0.9974010395841664,10000.0
password,0.9937437437437437,0.99275,0.9932466233116558,4000.0
ransomware,0.9997498123592694,0.999,0.9993747655370764,4000.0
scanning,0.9867962132536123,0.99025,0.9885200898427752,4000.0
xss,0.9761727475800447,0.98325,0.9796985926018185,4000.0
