class,precision,recall,f1,support
backdoor,0.7074034714842367,0.9985,0.8281152809454696,4000.0
ddos,0.9219586840091814,0.90375,0.9127635399570762,4000.0
dos,0.990770901194354,0.9125,0.9500260281103592,4000.0
injection,0.7702519642373341,0.71075,0.7393056819659342,4000.0
mitm,0.15960912052117263,0.937799043062201,0.27279053583855256,209.0
normal,0.9910313901345291,0.8398,0.9091696438237523,10000.0
password,0.7053627760252366,0.559,0.6237099023709902,4000.0
ransomware,0.7070450097847358,0.90325,0.7931942919868277,4000.0
scanning,0.8779840848806366,0.74475,0.8058974705802786,4000.0
xss,0.8566289825282631,0.8335,0.8449062341611758,4000.0
