class,precision,recall,f1,support
backdoor,1.0,0.99925,0.9996248593222459,4000.0
ddos,0.9881731253145445,0.98175,0.9849510910458992,4000.0
dos,0.9854527213443692,0.98225,0.9838487542256166,4000.0
injection,0.9854998728059018,0.9685,0.9769259866347245,4000.0
mitm,0.7081545064377682,0.7894736842105263,0.746606334841629,209.0
normal,0.9968047928107838,0.9983,0.9975518361229078,10000.0
password,0.9944862155388471,0.992,0.9932415519399249,4000.0
ransomware,1.0,0.999,0.9994997498749375,4000.0
scanning,0.9865470852017937,0.99,0.9882705265784877,4000.0
xss,0.9722495088408645,0.98975,0.9809217046580773,4000.0
