class,precision,recall,f1,support
backdoor,0.967680608365019,0.509,0.6671035386631717,4000.0
ddos,0.5632372214941023,0.8595,0.6805225653206651,4000.0
dos,0.62170790103751,0.97375,0.7588894301022894,4000.0
injection,0.6039366298607777,0.629,0.6162135684545678,4000.0
mitm,0.5692307692307692,0.35406698564593303,0.4365781710914454,209.0
normal,0.9281430219146483,0.8047,0.8620246384574183,10000.0
password,0.3272616879174256,0.2695,0.29558541266794625,4000.0
ransomware,1.0,0.20675,0.3426558939299772,4000.0
scanning,0.9411764705882353,0.696,0.8002299511353838,4000.0
xss,0.45416720842543234,0.87325,0.5975536737661449,4000.0
